,Company Name,Position,Location,Apply Link,Details
10,Citi,Apps Support Intmd Analyst,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3135493070/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=2hAlZYWW4rGDK1g07st3pg%3D%3D&trk=flagship3_search_srp_jobs,"Job Id: 22475282

Responsibilities:
The Apps Support Intmd Analyst provides technical and business support for users of Citi Applications.
Utilizes good understanding of apps support procedures and concepts and basic knowledge of other technical areas to field issues and queries from stakeholders, provide short-term resolutions and work with relevant technology partners for long term remediation.
Develop a comprehensive understanding of how areas of apps support collectively integrate to contribute to achieving business goals.
Act as a liaison between users/traders, interfacing internal technology groups and vendors
Participates in disaster recovery testing
Participate in application releases, from development, testing and deployment into production.
perform post release checkouts after application releases and infrastructure updates. Develop and maintain technical support documentation.
Considers implications of the application of technology to the current environment.
Analyzes applications to identify risks, vulnerabilities and security issues.
Makes evaluative judgments based on analysis of factual information; resolves problems by identifying and selecting solutions Cooperation with Development colleagues to prioritize bug fixes and support tooling requirements.
Directly impacts the business by ensuring the quality of work provided by self and others; impacts own team and closely related work teams.
Exchanges ideas and information
Active involvement in and ownership of Support Project items, covering Stability, Efficiency, and Effectiveness initiatives.
Performs other duties and functions as assigned in a concise and logical manner.
Has the ability to operate with a limited level of direct supervision.
Can exercise independence of judgement and autonomy.
Acts as SME to senior stakeholders and /or other team members.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.
Qualifications:

5+ years of hands on experience in:
UNIX \ LINUX (required)
SQL (Oracle or MS SQL or Sybase) (required)
Job scheduling tools (Autosys etc.)
J2EE application server (Weblogic or Websphere)
EAI technologies - MQ, Connect Direct etc.
Ticket tool -(ServiceNow, Infoman, HEAT)
monitoring tool - (ITRS, AppD)
Basic knowledge or interest about apps support procedures, concepts and of other technical areas.
Participation in some process improvements.
Previous experience or interest in standardization of procedures and practices.
Basic Business knowledge/ understanding of financial markets and products.
Knowledge/ experience of problem Management Tools.
Understands of how own sub-function integrates within the function and commercial awareness
Evaluates (sometimes complex) situations using multiple sources of information Developed communication and diplomacy skills to persuade and influence
Good customer service, communication and interpersonal skills
Good knowledge of the business and its technology strategy
Consistently demonstrates clear and concise written and verbal communication skills
Knowledge of issue tracking and reporting using tools
Good all-round team member
Effectively share information with other support team members and with other technology teams
Ability to plan and organize workload
Ability to communicate appropriately to relevant stakeholder
Education:
Bachelor’s/University degree or equivalent experience
-------------------------------------------------

Job Family Group:

Technology

-------------------------------------------------

Job Family:

Applications Support

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
11,Amazon,"Quality Assurance Engineer - Amazon Kindle, Amazon Academy","Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3121812489/?eBP=CwEAAAGBoKMTZMjAGC0W7esqvnTbP181d5HH_eFDFFOUw0o3s-Jk3Wd60wTxb2tmE_Fm6t-RCRO6ZkVezKZ6kUXXXWnMUNbSWuObI0-YVzJKRlPr5Dn2SAo3LBUo9nswnY1YrcRe0ant5AQLs7fS0ykum9mxO4jW-w8UOsjmc0jv_CEMj3TNGiIwW2lHjXveIH9IQfG6GvtHlzMV3qEK_frz3CkQGmdem-4jsmz7SqVVLjBycAec16wAF5oOZjklhxnH62pa4bWgpXmCtss6mLDgVPA3M-kJSfwYEnu0j9PuziHDswQDgD6nbCaXoswJoscQR0PaQbTR7Ea7dC7UT03WR7oC7ivl-NE6HH7FanImTEWqvRbkwhWMKkML6GE_55bBBt_bxQ&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=Zgu0ooCPxJAbKYfELwciWA%3D%3D&trk=flagship3_search_srp_jobs,"Job Summary

DESCRIPTION

The Amazon Kindle India team is looking for Quality Assurance Engineers! Amazon invites smart, talented and innovative Quality Assurance engineers to join Kindle India team to define and build the best product for students. You would be part of revolutionizing student learning experience in India. Expect to be challenged!

Brief on Work:-

At Amazon, you would thrive in an environment where you’d solve challenging technical problems, often the ones others have not solved before, with peers who have industry leading technical abilities and your solutions will be rolled out to a huge number of customers across the world. This role will have a profound impact on millions of students and teachers in India.

If you are a talented, detail-oriented, and enthusiastic Quality Assurance Engineer who is passionate about quality and delivering the best customer service, then we want to hear from you!

Responsibilities
Development of test strategies and creation of appropriate test harnesses.
Work with a team of quality engineering professions to ensure the highest quality product delivery.
Work with developers to identify the root cause and resolve issues.
Use professional software engineering practices & best practices, including coding standards, code reviews, source control management, build processes, testing, and operations.
Communicate with internal/external teams and management on requirements and status updates.
Work in test driven development and establish test infrastructures
Automate the validation of user interfaces.
Interact and coordinate test activities among multiple teams
Experience developing in Java, Javascript.
Excellent communication, collaboration, reporting, analytical and problem solving skills.

Basic Qualifications
1+ year of experience working as a Quality Assurance Engineer
Experience in manual testing
Experience in automation testing
Bachelor's Degree
Preferred Qualifications
Strong organizational skills, tracking multiple test executions simultaneously and are able to synthesize the results.
Shows creativity and initiative to improve product test coverage and effectiveness.
Comfortable communicating cross-functionally and across management levels in formal and informal settings.
Experience with evaluating and integrating open source and in house developed tool sets.
Understanding of automation and how to apply where possible
Comfort and familiarity with common data structures, algorithms and collections.
Familiar with the Eclipse IDE or logical equivalent.
Proficient in an object oriented programming language.

Company - ADCI - Tamil Nadu

Job ID: A2104423"
12,NA,Website Designer,India,https://www.linkedin.com/jobs/view/3141877873/?eBP=JOB_SEARCH_ORGANIC&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=b6COHr5hAH%2BnL74ZXLKrKg%3D%3D&trk=flagship3_search_srp_jobs,"Domain and Hosting will provide.

Bankpedia is an educational channel on YouTube. This is a banking and finance related channel. I want to develop a website with the following functionalities:-
1. Signup
2. Membership Signup with Fees
3. ebooks, magazines available only for members
4. Dedicated page on which Bankpedia YouTube channel videos will play.
5. Download section after fees payment for non-members

and also requires suggestions to improve website.

Eligibility
1. Must have knowledge of Hindi and English
2. Must have available 8am to 10pm on WhatsApp for discussion.
3. Freshers are also eligible
4. Must have a portfolio if you have experience

Remuneration as per market rate and also it is negotiable.

Interested candidates can apply on WhatsApp: 7982436541

Visit my channel on YouTube: https://youtube.com/c/bankpediaa"
13,ZARA TECH,Sales and Marketing engineer,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3135581865/?eBP=JOB_SEARCH_ORGANIC&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=yVGARtq2DYjqNdR4Sudg%2Fg%3D%3D&trk=flagship3_search_srp_jobs,"Objective / Purpose of the Job
Managing all marketing for the company and activities within the sales/marketing department. Developing the marketing strategy for the company in line with company objectives. Co-ordinating marketing campaigns with sales activities. To develop new businesses and exceed customer satisfaction.

Key Activities / Accountabilities

-Performing market research
· Monitor and analyse the performance of marketing programs in order to guide current & future strategies
· Producing a marketing plan and product development
· Strategically overseeing advertising, distribution for sales, customer service and public relations
· Responsible for creating & disseminating images, messages & ideas that best communicate the brand value
· Assist in creating, recommending and implementing marketing programs and campaigns for products and services of the organization
· Plan the cost effective strategies to meet the company objectives
· Action plan for the target markets
· Plan & manage trade shows & exhibitions
· Identify new business opportunities
· Generate new sale leads for products and services
· Develop existing accounts
· Develop business strategies and achieve performance targets
· Prepare and conduct product demonstration & sales presentation
· Attend to customers queries and provide appropriate solutions
· Maintain good relations with all customers and ensure good customer service
· Ensure profitability for businesses secured with regular review with Management
· Provide monthly/quarterly sales activities forecast and review
· Any other duties as assigned

Prefered from tamilnadu"
14,Pearson,Software Developer,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3133052341/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=Sa0HdE09M2IOm7wbrQdjDQ%3D%3D&trk=flagship3_search_srp_jobs,"At Pearson, we’re committed to a world that’s always learning and to our talented team who makes it all possible. From bringing lectures vividly to life to turning textbooks into laptop lessons, we are always re-examining the way people learn best, whether it’s one child in our own backyard or an education community across the globe. We are bold thinkers and standout innovators who motivate each other to explore new frontiers in an environment that supports and inspires us to always be better. By pushing the boundaries of technology — and each other to surpass these boundaries — we create seeds of learning that become the catalyst for the world’s innovations, personal and global, large and small.

Summary

We are looking for a highly experienced Software Developer with the following skills:
ReactJS
Node.js
Redux
Material UI
Front-end SME
Job: TECHNOLOGY

Organization: Corporate Strategy & Technology

Schedule: FULLTIME

Req ID: 5792"
15,BrainCave Software Pvt. Ltd,Ionic Developer,India,https://www.linkedin.com/jobs/view/3140698422/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=j9%2BC3zXQEBPil3LCQqps%2Bg%3D%3D&trk=flagship3_search_srp_jobs,minimum 1-2 years of experience in ionic
16,United Well-being Foundation,Back End Developer,India,https://www.linkedin.com/jobs/view/3144846417/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=Srz%2BIFto53TITqNqtD7Z4w%3D%3D&trk=flagship3_search_srp_jobs,"Its Work From Home
This internship is unpaid
Duration - 6 months
Perks: Certificate & LOR (Letter of recommendation)


About United Well-Being Foundation
We have started this organization to help people in need; people who are going through tough times mentally. We help them by providing needful support. We also do online campaigns so that we can connect with people more.

We Provide free therapy sessions, if anyone need help, then you can connect with us!

Selected intern's day-to-day responsibilities include:

Working with PHP and MySQL to design, develop and debug web applications
Integrating back-end services with PHP/Javascript based front end needs
Working with the team to manage, optimize and customize multiple web applications
Creating and maintaining technical documentation"
17,Let's Develop IT,Full Stack Developer,India,https://www.linkedin.com/jobs/view/3140676737/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=NYnYzDFfsgExh3jB9Q8Ezg%3D%3D&trk=flagship3_search_srp_jobs,"We are looking for a highly skilled computer programmer who is comfortable with both front and back end programming. Full stack developers are responsible for developing and designing front end web architecture, ensuring the responsiveness of applications, and working alongside graphic designers for web design features, among other duties.
Full stack developers will be required to see out a project from conception to final product, requiring good organizational skills and attention to detail.
Full Stack Developer Responsibilities:
Developing front end website/app architecture.
Designing user interactions on web pages/app screens.
Developing back-end website/applications.
Creating servers and databases for functionality.
Ensuring cross-platform optimization for mobile phones.
Ensuring responsiveness of applications.
Working alongside graphic designers for web design features.
Seeing through a project from conception to finished product.
Designing and developing APIs.
Meeting both technical and consumer needs.
Staying abreast of developments in websites/applications and programming languages.
Full Stack Developer Requirements:
Project management skills.
Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.
Familiarity with JavaScript frameworks such as Angular JS, React JS and React Native (app)
Proficiency with server-side languages such as Python, Java, PHP, Node.js and .Net.
Familiarity with database technology such as MySQL and MongoDB.
Good problem-solving skills.
Attention to detail.

If you meet the above requirements and would love to join us, please submit your application."
18,Honeywell,Sr Advanced Test Eng,"Chennai, Tamil Nadu, India",https://www.linkedin.com/jobs/view/3136856972/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=ACTIVELY_HIRING_COMPANY&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=1OjSEXOTYOnZ%2FD%2FSmfYanw%3D%3D&trk=flagship3_search_srp_jobs,"Driving Infinite Possibilities Within A Diversified, Global Organization

Must Have Skills
Should have 12+ year of experience in software testing for platforms (SAP Hybris, Adobe Experience Manager and SFDC)
Strong test management skills for web and mobile applications in Scrum and Scaled Agile models with deeper knowledge of JIRA- Xray.
Knowledge of Responsive web design and accessibility testing is a must.
Diverse experience in multitechnology platforms testing to be able to provide functional test signoff and coordinate automation & nonfunctional testing.
Working knowledge of complex integration landscape comprising of front end, middleware, and backend.
Need to have the exposure of all the integration touchpoints around Order Management, Product Management, and Customer Management involving ERP, ecommerce, Paymetrics, Payment Gateways, PIM, and Middleware ( APIGEE API testing)
Good analytical and logical thinking abilities
Experience in test estimation, resource planning, scheduling, monitoring, controlling and reporting test status.
Should possess strong interpersonal, communication and collaboration skills with stakeholders at different levels.
Nice/good To Have Skills
Experience in running SAP ECC basic codes in Order Management & Material Master is an added advantage
Exposure to test automation

ENIT 2021

Roles & Responsibilities
Understanding of testing across the full Software Development lifecycle - Agile (Scrum) / Waterfall / V-Model
Manage test planning, execution and reporting strategies across multiple programs and in alignment with Program and business needs.
Adapts plans and priorities based on resource and operational challenges.
Supports problem solving and resolves technical and operational problems.
Prepare and execute test plan, test strategy and estimation.
Participates in kickoff, project review meetings and Phase Gate meetings to provide Go/No Go from testing.
Develops and tailors the test approach specific to each phase and/or functional area of the system/application.
Responsible for the quality of testing deliverables.
Publishes test reports/status.
Manages the defect management process during the testing phase/effort.
Manages the test team according to the schedule.
Coordinates resolution of issues related to activities impacting the progress of testing.
Reviews functional, automated test suite on periodic basis for possible optimization wherever applicable.
Participates in test status calls and other project discussions.
Coordinates training for new employees/team members.
Complies with all policies, procedures, and standards.
ENIT2021

Additional Information
JOB ID: HRD170220
Category: Engineering
Location: 5th, 6th & 7th Floors, North Tower KRM Plaza, No.2,Harrington Road, Chetpet,,Chennai,TAMIL NADU,600031,India
Exempt
Honeywell FM&T Overview"
19,PrepTouch,Businesa and developement intern,India,https://www.linkedin.com/jobs/view/3139430131/?eBP=JOB_SEARCH_ORGANIC&recommendedFlavor=JOB_SEEKER_QUALIFIED&refId=iO8aRbw%2FQhY6a5iqMaIc%2FA%3D%3D&trackingId=vj130%2FDb6n258XKyyE%2B1pw%3D%3D&trk=flagship3_search_srp_jobs,"Duration: 1 Month


PrepTouch is an e-learning platform that provides different & creative skills to all age groups.


| Learning Courses || Kids creativity || Spoken Languages |

BDI Responsibilities:


1. Cold Calling

2. Achieving sales targets

3. Product Marketing

4. Daily meetings

5. Campus Webinar


What will you get :

1: LOR

2: Certificate

3: Core team opportunity

4: Stipend ( Performance Based)"
